precision,recall,fscore,thresholds
0.05005005005005005,1.0,0.09532888465204958,0.0
0.07001414427157002,0.99,0.130779392338177,0.15024714513882695
0.06869688385269122,0.97,0.12830687830687834,0.1665994679925257
0.0673758865248227,0.95,0.12582781456953643,0.18416136814915346
0.06742370475514549,0.95,0.12591119946984758,0.18801676676382015
0.06747159090909091,0.95,0.12599469496021223,0.1907362736312452
0.06751954513148543,0.95,0.126078301260783,0.1944902856501466
0.06761565836298933,0.95,0.12624584717607976,0.19597754407384854
0.06766381766381767,0.95,0.12632978723404256,0.20087127310368505
0.06776034236804565,0.95,0.12649800266311584,0.2061922257499309
0.06709493219129194,0.94,0.12524983344437043,0.2072361371706902
0.06714285714285714,0.94,0.12533333333333332,0.21409325122462802
0.06719085060757685,0.94,0.1254169446297532,0.2151615765776164
0.06723891273247497,0.94,0.1255006675567423,0.22769431803406956
0.06728704366499642,0.94,0.12558450233800936,0.22841361323374745
0.0673352435530086,0.94,0.12566844919786097,0.2284161182932617
0.06738351254480286,0.94,0.12575250836120402,0.2290614236454256
0.06743185078909612,0.94,0.12583668005354753,0.2332591956502087
0.0674802584350323,0.94,0.1259209645010047,0.2347230189106113
0.06752873563218391,0.94,0.1260053619302949,0.2347601991670105
0.06757728253055356,0.94,0.1260898725687458,0.23547437380581626
0.06762589928057554,0.94,0.1261744966442953,0.23610371249160345
0.06767458603311735,0.94,0.1262592343854936,0.2368049910501327
0.06772334293948126,0.94,0.12634408602150538,0.2397610011799242
0.06777217015140591,0.94,0.1264290517821116,0.2405882652421748
0.0664259927797834,0.92,0.12390572390572391,0.2406343683017152
0.06647398843930635,0.92,0.12398921832884097,0.24147147612274136
0.06652205350686913,0.92,0.12407282535401214,0.2423749184807383
0.06657018813314038,0.92,0.1241565452091768,0.2436767464925832
0.0666183924692252,0.92,0.12424037812288995,0.2440791566264065
0.06666666666666667,0.92,0.12432432432432433,0.24493375061361225
0.06671501087744743,0.92,0.12440838404327248,0.2449357343593053
0.06681190994916485,0.92,0.12457684495599186,0.246264384720506
0.06686046511627906,0.92,0.12466124661246612,0.2482368590701913
0.0669090909090909,0.92,0.1247457627118644,0.25109134079965617
0.06695778748180495,0.92,0.1248303934871099,0.2542077748966547
0.06700655498907501,0.92,0.1249151391717583,0.2581642892307224
0.06705539358600583,0.92,0.125,0.2603026644235446
0.06710430342815463,0.92,0.12508497620666212,0.26031312819093616
0.06715328467153285,0.92,0.1251700680272109,0.26106386514709684
0.06720233747260775,0.92,0.12525527569775358,0.2612653371068893
0.06725146198830409,0.92,0.12534059945504086,0.26517554272333194
0.06730065837600585,0.92,0.125426039536469,0.2656746595110447
0.06734992679355783,0.92,0.12551159618008184,0.26573021204615205
0.0673992673992674,0.92,0.12559726962457338,0.26590236990221083
0.06744868035190615,0.92,0.1256830601092896,0.27048526029844605
0.06676449009537784,0.91,0.12440191387559808,0.2723177866040256
0.06681350954478708,0.91,0.12448700410396718,0.2723626920808007
0.0668626010286554,0.91,0.12457221081451061,0.2728947399603148
0.0661764705882353,0.9,0.12328767123287672,0.2748523284095215
0.06622516556291391,0.9,0.12337217272104181,0.27510344607348025
0.0662739322533137,0.9,0.1234567901234568,0.2765677614051371
0.06632277081798084,0.9,0.12354152367879204,0.27725420900789616
0.06637168141592921,0.9,0.12362637362637365,0.2772549363243229
0.06642066420664207,0.9,0.12371134020618557,0.27729535562181584
0.06646971935007386,0.9,0.12379642365887207,0.27755692278976424
0.06651884700665188,0.9,0.12388162422573983,0.2786064547197687
0.06656804733727811,0.9,0.12396694214876033,0.2796026266510946
0.06661732050333087,0.9,0.12405237767057202,0.279704050012817
0.06666666666666667,0.9,0.12413793103448276,0.2800955953515091
0.06671608598962195,0.9,0.12422360248447205,0.2801573108017065
0.06676557863501484,0.9,0.12430939226519336,0.2802018858125493
0.066815144766147,0.9,0.12439530062197651,0.28031829140758685
0.06686478454680535,0.9,0.12448132780082988,0.2804082436845366
0.06691449814126393,0.9,0.12456747404844289,0.2805790471724469
0.06696428571428571,0.9,0.12465373961218837,0.28059995331657656
0.06701414743112435,0.9,0.12474012474012475,0.2810768027316459
