fpr,tpr,thresholds
0.0,0.0,1.99
0.36880927291886195,0.49,0.99
0.36933614330874603,0.49,0.8164965809277259
0.36933614330874603,0.5,0.5817163040511129
0.3703898840885142,0.5,0.5345224838248488
0.3714436248682824,0.5,0.5000000000000003
0.37302423603793466,0.5,0.5
0.37987355110642784,0.5,0.4714045207910317
0.380927291886196,0.5,0.4714045207910316
0.3814541622760801,0.5,0.4714045207910305
0.38250790305584825,0.5,0.4714045207910289
0.3898840885142255,0.5,0.4482960905608918
0.3909378292939937,0.5,0.4476704659383453
0.39567966280295047,0.5,0.4379475885241327
0.39567966280295047,0.52,0.4370232187423533
0.39620653319283455,0.52,0.4341380759254643
0.3972602739726027,0.52,0.4330127018922194
0.40094836670179135,0.52,0.4286125705494699
0.40094836670179135,0.53,0.4283300066112972
0.40147523709167543,0.53,0.4279670974291441
0.40147523709167543,0.54,0.4275026435261671
0.40252897787144365,0.54,0.4269267723866614
0.40252897787144365,0.55,0.4263037700590048
0.40727081138040044,0.55,0.4189693756701813
0.4083245521601686,0.55,0.4177733802988712
0.41675447839831403,0.55,0.4067234278977441
0.4178082191780822,0.55,0.4060582852379466
0.42571127502634354,0.55,0.3991386234442565
0.42571127502634354,0.56,0.3987674878972717
0.42887249736564803,0.56,0.39665929414143225
0.42887249736564803,0.57,0.3958212215815911
0.4293993677555321,0.57,0.3955613058622576
0.43045310853530033,0.57,0.3952847075210471
0.4315068493150685,0.57,0.3938100507146866
0.43256059009483666,0.57,0.39344125316188855
0.43466807165437304,0.57,0.3904395254322645
0.4357218124341412,0.57,0.3904154324683629
0.4399367755532139,0.57,0.3838678689394832
0.44204425711275025,0.57,0.3836515324697367
0.4446786090621707,0.57,0.3823187734808715
0.4446786090621707,0.59,0.3819021891373489
0.4452054794520548,0.59,0.3818215230409971
0.44625922023182296,0.59,0.3816402852167695
0.4499473129610116,0.59,0.3798619551534621
0.4499473129610116,0.6,0.3794837740227936
0.4504741833508957,0.6,0.37826671870694
0.4504741833508957,0.61,0.3780375526577095
0.464172813487882,0.61,0.3726779962499656
0.464172813487882,0.62,0.3726779962499655
0.46628029504741836,0.62,0.3726779962499653
0.4678609062170706,0.63,0.3726779962499651
0.46891464699683877,0.63,0.37267799624996506
0.47154899894625923,0.64,0.37267799624996495
0.47365648050579556,0.64,0.3726779962499649
0.4747102212855637,0.65,0.3726779962499648
0.47629083245521603,0.65,0.3726779962499647
0.4773445732349842,0.65,0.3726779962499645
0.47892518440463644,0.65,0.3726779962499644
0.4794520547945205,0.65,0.3726779962499643
0.48050579557428874,0.66,0.3726779962499642
0.48472075869336145,0.66,0.3726532483260248
0.48472075869336145,0.67,0.3722472561810879
0.48788198103266595,0.67,0.3703225224321092
0.48788198103266595,0.68,0.3703086797310771
0.48998946259220233,0.68,0.3684898727130751
0.48998946259220233,0.69,0.3684467581683888
0.49209694415173866,0.69,0.3668222083382531
0.49209694415173866,0.71,0.3664297682323537
0.5,0.71,0.36227480380164057
0.5010537407797682,0.71,0.36218161217933387
0.5015806111696522,0.71,0.3620677421197056
0.5015806111696522,0.72,0.3620395873054338
0.5042149631190727,0.72,0.36012575350563963
0.5063224446786091,0.72,0.35941120198621096
0.5068493150684932,0.72,0.35939160971544004
0.5079030558482613,0.72,0.359330968347676
0.5152792413066386,0.72,0.35755849784947463
0.5163329820864068,0.72,0.3574921102037301
0.5200210748155953,0.72,0.3563976319661349
0.5221285563751317,0.72,0.3552453507518417
0.5242360379346681,0.72,0.3544502142489598
