k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36
0.322581,0.322581,0.479452,0.25,0.0,0.0,0.0,0.479452,0.25,0.0,0.664921,0.265487,0.772727,0.632184,0.333333,0.36,0.772727,0.632184,0.333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.044709,0.022222,0.080865,0.036066,0.0,0.305488,0.490354,0.5,0.540009,0.490354,0.209059
0.505376,0.505376,0.575342,0.25,0.0,0.0,0.0,0.575342,0.25,0.0,0.623037,0.185841,0.681818,0.603448,0.0,0.28,0.681818,0.603448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.086438,0.096296,0.101681,0.088525,0.0,0.146794,0.37299,0.5,0.660011,0.37299,0.226481
0.16129,0.16129,0.333333,0.5,0.0,0.0,0.0,0.333333,0.5,0.0,0.895288,0.778761,0.5,0.925287,0.0,0.784,0.5,0.91954,0.0,0.0,0.0,0.0,0.0,0.0,0.382979,0.0,0.06073,0.040741,0.078463,0.065574,0.0,0.305097,0.390675,0.6,0.513344,0.390675,0.222997
0.16129,0.16129,0.342466,0.0,0.0,0.0,0.0,0.342466,0.0,0.0,0.455497,0.115044,0.454545,0.448276,0.0,0.184,0.454545,0.448276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.009687,0.018519,0.048038,0.022951,0.0,0.173178,0.324759,0.4,0.447991,0.324759,0.188153
0.225806,0.225806,0.351598,0.25,0.0,0.0,0.0,0.351598,0.25,0.0,0.623037,0.442478,0.636364,0.603448,0.333333,0.512,0.636364,0.603448,0.333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.014158,0.037037,0.060048,0.04918,0.0,0.192281,0.336013,0.6,0.529328,0.336013,0.202091
0.247312,0.247312,0.278539,0.25,0.0,0.0,0.0,0.278539,0.25,0.0,0.643979,0.504425,0.363636,0.66092,0.333333,0.52,0.363636,0.66092,0.333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.041729,0.051852,0.080064,0.052459,0.0,0.197095,0.287781,0.4,0.477344,0.287781,0.209059
0.290323,0.290323,0.3379,0.25,0.0,0.0,0.0,0.3379,0.25,0.0,0.371728,0.053097,0.454545,0.356322,0.0,0.128,0.454545,0.356322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.076379,0.02963,0.076061,0.032787,0.0,0.255656,0.323151,0.5,0.558657,0.323151,0.188153
0.268817,0.268817,0.237443,0.0,0.0,0.0,0.0,0.237443,0.0,0.0,0.34555,0.212389,0.545455,0.316092,0.0,0.272,0.545455,0.316092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002981,0.018519,0.042434,0.029508,0.0,0.228881,0.302251,0.5,0.488,0.302251,0.170732
0.258065,0.258065,0.47032,0.0,0.0,0.0,0.0,0.47032,0.0,0.0,0.502618,0.274336,0.590909,0.482759,0.0,0.352,0.590909,0.482759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.103204,0.048148,0.120096,0.059016,0.0,0.185783,0.424437,0.6,0.552009,0.424437,0.209059
0.215054,0.215054,0.26484,0.0,0.0,0.0,0.0,0.26484,0.0,0.0,0.303665,0.079646,0.318182,0.298851,0.0,0.128,0.318182,0.298851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13301,0.040741,0.084868,0.032787,0.0,0.229234,0.411576,0.5,0.411991,0.411576,0.181185
0.193548,0.193548,0.269406,0.0,0.0,0.0,0.0,0.269406,0.0,0.0,0.439791,0.238938,0.454545,0.431034,0.0,0.296,0.454545,0.431034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.056259,0.074074,0.07446,0.065574,0.0,0.215376,0.434084,0.5,0.513344,0.434084,0.229965
0.301075,0.290323,0.328767,0.25,0.0,0.0,0.0,0.328767,0.25,0.0,0.371728,0.230088,0.181818,0.390805,0.0,0.24,0.181818,0.390805,0.0,0.0,0.0,0.0,1.222222,0.0,1.0,0.0,0.002235,0.014815,0.051241,0.032787,0.0,0.313435,0.509646,0.6,0.468007,0.509646,0.222997
0.290323,0.290323,0.324201,0.25,0.0,0.0,0.0,0.324201,0.25,0.0,0.445026,0.292035,0.409091,0.442529,0.0,0.328,0.409091,0.442529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.031669,0.033333,0.146517,0.042623,0.0,0.269592,0.459807,0.5,0.473336,0.459807,0.317073
0.311828,0.311828,0.447489,0.5,0.0,0.0,0.0,0.447489,0.5,0.0,0.879581,0.831858,0.545455,0.890805,0.666667,0.848,0.545455,0.890805,0.666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.049553,0.066667,0.091273,0.081967,0.0,0.256283,0.498392,0.7,0.61201,0.498392,0.236934
0.408602,0.408602,0.525114,0.75,0.0,0.0,0.0,0.525114,0.75,0.0,0.926702,0.743363,0.545455,0.942529,0.666667,0.768,0.545455,0.942529,0.666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.027571,0.037037,0.07526,0.081967,0.0,0.203985,0.524116,0.5,0.629338,0.524116,0.268293
0.494624,0.494624,0.611872,0.25,0.0,0.0,0.0,0.611872,0.25,0.0,0.60733,0.274336,0.818182,0.563218,0.333333,0.392,0.818182,0.563218,0.333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06073,0.074074,0.077662,0.072131,0.0,0.351875,0.686495,0.8,0.61201,0.686495,0.271777
0.548387,0.548387,0.479452,0.25,0.0,0.0,0.0,0.479452,0.25,0.0,0.623037,0.300885,0.863636,0.574713,0.333333,0.408,0.863636,0.568966,0.333333,0.0,0.0,0.0,0.0,0.0,0.117021,0.0,0.05775,0.096296,0.115292,0.098361,0.0,0.128357,0.596463,0.7,0.702659,0.596463,0.324042
