k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36
0.617647,0.615836,0.603318,0.0625,0.0,0.0,1.0,0.603318,0.0625,0.0,0.554455,0.0,0.0,0.472222,0.431373,0.0,0.0,0.472222,0.411765,0.0,0.0,0.0,0.318182,0.0,0.982143,0.0,0.441439,0.126322,0.418342,0.218085,0.0,0.241237,0.684932,0.666667,0.41833,0.684932,0.404283
0.764706,0.762463,0.746606,0.0625,0.0,0.0,1.0,0.746606,0.0625,0.0,0.643564,0.166667,0.0,0.486111,0.588235,0.125,0.0,0.486111,0.588235,0.0,0.0,0.0,0.273319,0.0,1.0,0.0,0.253582,0.126344,0.277475,0.248313,0.0,0.193709,0.854795,0.555556,0.488268,0.854795,0.452714
0.479412,0.478006,0.499246,0.0625,0.0,0.0,1.0,0.499246,0.0625,0.0,0.425743,0.083333,0.0,0.347222,0.352941,0.0625,0.0,0.333333,0.352941,0.0,0.0,0.0,0.368421,0.0,0.976744,0.0,0.288111,0.159492,0.278199,0.291365,0.0,0.191174,0.556164,0.388889,0.385114,0.556164,0.364023
0.626471,0.627566,0.66365,0.6875,0.0,0.0,1.0,0.66365,0.6875,0.0,0.475248,0.25,0.0,0.458333,0.294118,0.3125,0.0,0.458333,0.294118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.691487,0.186598,0.598569,0.395805,0.0,0.167817,0.671233,0.555556,0.512266,0.671233,0.629792
0.408824,0.407625,0.411765,0.375,0.0,0.0,1.0,0.411765,0.375,0.0,0.544554,0.0,0.0,0.472222,0.411765,0.0625,0.0,0.472222,0.411765,0.0,0.0,0.0,0.398734,0.0,1.0,0.0,0.213266,0.186661,0.213239,0.328239,0.0,0.171284,0.509589,0.666667,0.40934,0.509589,0.370908
0.376471,0.378299,0.312217,0.5,0.0,0.0,1.0,0.312217,0.5,0.0,0.405941,0.0,0.0,0.375,0.27451,0.0,0.0,0.375,0.27451,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15879,0.091759,0.160121,0.238784,0.0,0.198888,0.391781,0.444444,0.401493,0.391781,0.348869
0.305882,0.302053,0.289593,0.3125,0.0,0.0,1.0,0.289593,0.3125,0.0,0.514851,0.25,0.0,0.388889,0.470588,0.25,0.0,0.388889,0.470588,0.0,0.0,0.0,0.903226,0.0,1.0,0.0,0.088882,0.064108,0.096822,0.164942,0.0,0.346569,0.350685,0.444444,0.218193,0.350685,0.265476
0.279412,0.281525,0.310709,0.5,0.0,0.0,1.0,0.310709,0.5,0.0,0.584158,0.25,0.0,0.569444,0.352941,0.3125,0.0,0.555556,0.352941,0.0,0.0,0.0,0.0,0.0,0.983051,0.0,0.362763,0.433664,0.353936,0.391871,0.0,0.195478,0.331507,0.555556,0.300472,0.331507,0.374949
0.444118,0.445748,0.396682,0.375,0.0,0.0,1.0,0.396682,0.375,0.0,0.594059,0.333333,0.0,0.527778,0.431373,0.375,0.0,0.527778,0.431373,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.237564,0.367677,0.232365,0.41051,0.0,0.338698,0.473973,0.388889,0.341307,0.473973,0.438458
0.388235,0.390029,0.396682,0.375,0.0,0.0,1.0,0.396682,0.375,0.0,0.405941,0.166667,0.0,0.5,0.098039,0.125,0.0,0.5,0.098039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.280608,0.397281,0.294514,0.416383,0.0,0.233717,0.424658,0.333333,0.333765,0.424658,0.605307
