timestamp,value
0,0.038262
1,0.031777
2,0.036316
3,0.02594
4,0.037613
5,0.026589
6,0.006485
7,0.006485
8,0.005188
9,0.040208
10,0.019455
11,0.016213
12,0.015564
13,0.011025
14,0.005837
15,0.003891
16,0.052529
17,0.051232
18,0.094034
19,0.167964
20,0.157588
21,0.276913
22,0.081064
23,0.109598
24,0.150454
25,0.212711
26,0.217899
27,0.170558
28,0.125811
29,0.097276
30,0.101816
31,0.468872
32,0.254215
33,0.245136
34,0.215305
35,0.33463
36,0.498703
37,0.2607
38,0.147211
39,0.231518
40,0.166667
41,0.195201
42,0.167964
43,0.141375
44,0.162127
45,0.256161
46,0.129702
47,0.107652
48,0.16537
49,0.284047
50,0.296368
51,0.325551
52,0.237354
53,0.169909
54,0.210117
55,0.616732
56,0.188716
57,0.627756
58,0.842412
59,0.470169
60,0.181582
61,0.142023
62,0.16537
63,0.354734
64,0.51297
65,0.335927
66,0.523346
67,0.614137
68,0.330739
69,0.322957
70,0.705577
71,0.348249
72,0.384565
73,0.463684
74,0.327497
75,0.311933
76,0.401427
77,0.418288
78,0.242542
79,0.373541
80,0.501946
81,0.544747
82,0.376135
83,0.411154
84,0.267185
85,0.279507
86,0.097925
87,0.086252
88,0.06096
89,0.036316
90,0.028534
91,0.040856
92,0.038911
93,0.035668
94,0.006485
95,0.018807
