timestamp,value
0,0.168533
1,0.085813
2,0.107073
3,0.11241
4,0.078518
5,0.034611
6,0.028629
7,0.021461
8,0.024525
9,0.025873
10,0.023044
11,0.030025
12,0.023712
13,0.023598
14,0.024948
15,0.02533
16,0.047328
17,0.050022
18,0.065604
19,0.054702
20,0.138608
21,0.158206
22,0.141882
23,0.199921
24,0.157373
25,0.154911
26,0.188583
27,0.225498
28,0.154459
29,0.126408
30,0.075422
31,0.097788
32,0.107542
33,0.133999
34,0.108333
35,0.117328
36,0.150053
37,0.120767
38,0.20891
39,0.17909
40,0.155733
41,0.27416
42,0.445832
43,0.483914
44,0.299706
45,0.213818
46,0.17561
47,0.137938
48,0.120794
49,0.092521
50,0.121451
51,0.202116
52,0.130934
53,0.201327
54,0.224933
55,0.230089
56,0.227097
57,0.178189
58,0.125264
59,0.131108
60,0.149045
61,0.168418
62,0.233883
63,0.422093
64,0.388225
65,0.343938
66,0.252033
67,0.365711
68,0.328084
69,0.453411
70,0.268363
71,0.30993
72,0.429501
73,0.471066
74,0.407269
75,0.68297
76,0.838483
77,0.738636
78,0.417006
79,0.737087
80,1.023193
81,0.779632
82,1.130588
83,1.148536
84,0.513007
85,0.336332
86,0.27838
87,0.208006
88,0.258135
89,0.172284
90,0.234431
91,0.21824
92,0.230899
93,0.257085
94,0.157263
95,0.098446
