timestamp,value
0,0.003101
1,0.003101
2,0.004651
3,0.00155
4,0.00155
5,0.00155
6,0.00155
7,0.00155
8,0.003101
9,0.006202
10,0.004651
11,0.00155
12,0.003101
13,0.00155
14,0.051163
15,0.034109
16,0.44031
17,0.044961
18,0.072868
19,0.082171
20,0.179845
21,1.0
22,0.179845
23,0.331783
24,0.063566
25,0.03876
26,0.029457
27,0.049612
28,0.131783
29,0.085271
30,0.162791
31,0.189147
32,0.094574
33,0.125581
34,0.139535
35,0.031008
36,0.021705
37,0.153488
38,0.012403
39,0.063566
40,0.145736
41,0.114729
42,0.223256
43,0.057364
44,0.012403
45,0.054264
46,0.052713
47,0.057364
48,0.057364
49,0.048062
50,0.062016
51,0.044961
52,0.037209
53,0.03876
54,0.024806
55,0.116279
56,0.291473
57,0.091473
58,0.027907
59,0.106977
60,0.034109
61,0.044961
62,0.139535
63,0.368992
64,1.094574
65,0.537984
66,0.24186
67,0.15969
68,0.4
69,0.787597
70,0.116279
71,0.086822
72,0.082171
73,0.555039
74,0.314729
75,0.682171
76,0.156589
77,0.12093
78,0.15814
79,0.289922
80,0.19845
81,0.051163
82,0.15814
83,0.12093
84,0.15969
85,0.082171
86,0.03876
87,0.048062
88,0.009302
89,0.029457
90,0.010853
91,0.004651
92,0.003101
93,0.006202
94,0.012403
95,0.037209
