timestamp,value
0,0.306832
1,0.30383
2,0.300085
3,0.267276
4,0.285885
5,0.30908
6,0.246992
7,0.272347
8,0.30284
9,0.312577
10,0.188401
11,0.206391
12,0.23287
13,0.20141
14,0.242618
15,0.185151
16,0.204142
17,0.222627
18,0.259855
19,0.236626
20,0.268783
21,0.438957
22,0.423036
23,0.446502
24,0.621658
25,0.77807
26,0.889507
27,0.965437
28,0.721851
29,0.666633
30,0.567688
31,0.733848
32,0.490735
33,0.539207
34,0.599834
35,0.507219
36,0.5377
37,0.639895
38,0.653894
39,0.426769
40,0.509175
41,0.378297
42,0.209134
43,0.237368
44,0.621905
45,0.810306
46,0.420518
47,0.294587
48,0.39875
49,0.324282
50,0.442567
51,0.408532
52,0.300591
53,0.547449
54,0.408026
55,0.513223
56,0.555758
57,0.51347
58,0.505723
59,0.507724
60,0.48798
61,0.511716
62,0.530707
63,0.510715
64,0.278104
65,0.349805
66,0.477625
67,0.387292
68,0.378545
69,0.35156
70,0.296836
71,0.181407
72,0.532967
73,0.520464
74,0.343318
75,0.374294
76,0.235625
77,0.400785
78,0.207886
79,0.493479
80,0.534462
81,0.490398
82,0.373136
83,0.686478
84,0.500978
85,0.536711
86,0.517968
87,0.440509
88,0.534721
89,0.412287
90,0.376453
91,0.280353
92,0.330567
93,0.223875
94,0.20864
95,0.336313
