timestamp,value
0,0.135013
1,0.130137
2,0.164034
3,0.211524
4,0.183159
5,0.11544
6,0.090712
7,0.052633
8,0.187914
9,0.117479
10,0.052633
11,0.057693
12,0.082812
13,0.042476
14,0.042476
15,0.036057
16,0.111287
17,0.106355
18,0.025818
19,0.0
20,0.183903
21,0.216945
22,0.453104
23,0.40962
24,0.326424
25,0.567293
26,0.460139
27,0.44351
28,0.421294
29,0.427705
30,0.452955
31,0.479121
32,0.450283
33,0.4554
34,0.476858
35,0.508919
36,0.449448
37,0.482058
38,0.521077
39,0.576407
40,0.493757
41,0.548646
42,0.824918
43,0.543447
44,0.4965
45,0.409601
46,0.497536
47,0.616433
48,0.584162
49,0.762735
50,0.692277
51,0.733697
52,0.618571
53,0.549328
54,0.50571
55,0.523641
56,0.720714
57,0.691822
58,0.55478
59,0.528726
60,0.560316
61,0.849898
62,0.989699
63,0.952461
64,0.663277
65,0.627053
66,0.713139
67,0.789074
68,0.521178
69,0.570395
70,0.569937
71,0.518219
72,0.687304
73,0.542459
74,0.692321
75,0.86389
76,0.801974
77,0.439699
78,0.44636
79,0.409889
80,0.414155
81,0.435505
82,0.430188
83,0.40311
84,0.40311
85,0.412765
86,0.412765
87,0.393411
88,0.340425
89,0.379782
90,0.336006
91,0.393853
92,0.400661
93,0.409222
94,0.336006
95,0.331577
