timestamp,value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.029412
14,0.0
15,0.088235
16,0.088235
17,0.058824
18,0.029412
19,0.088235
20,0.176471
21,0.264706
22,0.088235
23,0.176471
24,0.264706
25,0.235294
26,0.382353
27,0.705882
28,0.794118
29,0.735294
30,0.470588
31,0.705882
32,0.205882
33,0.411765
34,0.352941
35,0.264706
36,0.441176
37,0.411765
38,0.411765
39,0.294118
40,0.117647
41,0.029412
42,0.147059
43,0.235294
44,0.294118
45,0.382353
46,0.264706
47,0.117647
48,0.235294
49,0.352941
50,0.470588
51,0.676471
52,0.294118
53,0.588235
54,0.352941
55,0.470588
56,1.058824
57,0.323529
58,0.411765
59,0.676471
60,0.235294
61,0.088235
62,0.088235
63,0.558824
64,0.117647
65,0.205882
66,0.088235
67,0.294118
68,0.117647
69,0.5
70,0.235294
71,0.088235
72,0.0
73,0.117647
74,0.058824
75,0.0
76,0.058824
77,0.0
78,0.176471
79,0.029412
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
