timestamp,value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.041667
8,0.0
9,0.083333
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.083333
18,0.0
19,0.0
20,0.0
21,0.208333
22,0.125
23,0.0
24,0.0
25,0.208333
26,0.041667
27,0.208333
28,0.166667
29,0.083333
30,0.625
31,0.333333
32,0.25
33,0.416667
34,0.291667
35,0.25
36,0.5
37,0.291667
38,0.208333
39,0.125
40,0.041667
41,0.166667
42,0.25
43,0.333333
44,0.708333
45,0.166667
46,0.375
47,0.875
48,0.041667
49,0.208333
50,0.333333
51,0.041667
52,0.375
53,0.208333
54,0.125
55,0.083333
56,0.125
57,0.041667
58,0.0
59,0.041667
60,0.125
61,0.333333
62,0.5
63,0.333333
64,0.291667
65,0.333333
66,0.041667
67,0.041667
68,0.125
69,0.208333
70,0.291667
71,0.166667
72,0.125
73,0.125
74,0.0
75,0.375
76,0.041667
77,0.125
78,0.291667
79,0.416667
80,0.5
81,0.458333
82,0.208333
83,0.041667
84,0.5
85,0.041667
86,0.25
87,0.125
88,0.25
89,0.166667
90,0.333333
91,0.166667
92,0.166667
93,0.0
94,0.0
95,0.0
