timestamp,value
0,0.40724
1,0.55543
2,0.487557
3,0.483032
4,0.501131
5,0.558824
6,0.572398
7,0.582579
8,0.613122
9,0.554299
10,0.493213
11,0.628959
12,0.647059
13,0.744344
14,0.722851
15,0.798643
16,0.747738
17,0.849548
18,0.824661
19,0.756787
20,0.545249
21,0.454751
22,0.394796
23,0.410633
24,0.408371
25,0.282805
26,0.368778
27,0.277149
28,0.299774
29,0.567873
30,0.512443
31,0.335973
32,0.285068
33,0.254525
34,0.21267
35,0.348416
36,0.361991
37,0.283937
38,0.364253
39,0.286199
40,0.299774
41,0.479638
42,0.430995
43,0.442308
44,0.414027
45,0.446833
46,0.399321
47,0.366516
48,0.458145
49,0.403846
50,0.401584
51,0.512443
52,0.5
53,0.522624
54,0.523756
55,0.452489
56,0.475113
57,0.464932
58,0.36086
59,0.397059
60,0.434389
61,0.43552
62,0.434389
63,0.493213
64,0.428733
65,0.503394
66,0.489819
67,0.519231
68,0.382353
69,0.295249
70,0.394796
71,0.295249
72,0.40724
73,0.39819
74,0.503394
75,0.711538
76,0.763575
77,0.911765
78,0.958145
79,0.930995
80,0.978507
81,0.819005
82,0.856335
83,0.785068
84,1.036199
85,0.848416
86,0.945701
87,0.848416
88,0.820136
89,0.803167
90,0.873303
91,0.541855
92,0.554299
93,0.526018
94,0.562217
95,0.459276
