timestamp,value
0,0.510781
1,0.379926
2,0.217844
3,0.376208
4,0.455019
5,0.435688
6,0.426766
7,0.185874
8,0.220818
9,0.088476
10,0.270632
11,0.114498
12,0.304833
13,0.29145
14,0.198513
15,0.30855
16,0.301859
17,0.601487
18,0.387361
19,0.324907
20,0.387361
21,0.265428
22,0.422305
23,0.722677
24,0.657993
25,0.933086
26,1.028253
27,0.324164
28,0.336059
29,0.207435
30,0.330112
31,0.475093
32,0.473606
33,0.14052
34,0.531599
35,0.539777
36,0.42974
37,0.669145
38,0.533086
39,0.379926
40,0.597026
41,0.347955
42,0.252788
43,0.621561
44,0.969517
45,0.101859
46,0.117472
47,0.117472
48,0.172491
49,0.221561
50,0.21487
51,0.07881
52,0.073606
53,0.060967
54,0.007435
55,0.066171
56,0.022305
57,0.074349
58,0.134572
59,0.052788
60,0.032714
61,0.012639
62,0.002974
63,0.0171
64,0.192565
65,0.030483
66,0.084758
67,0.008922
68,0.063941
69,0.052045
70,0.077323
71,0.3829
72,0.596283
73,0.672119
74,0.114498
75,0.250558
76,0.709294
77,0.563569
78,0.47881
79,0.42974
80,0.335316
81,0.289963
82,0.161338
83,0.26171
84,0.29145
85,0.168773
86,0.29145
87,0.410409
88,0.375465
89,0.158364
90,0.272862
91,0.175465
92,0.52119
93,0.376208
94,0.515985
95,0.309294
