timestamp,value
0,0.186147
1,0.25974
2,0.305195
3,0.311688
4,0.309524
5,0.536797
6,0.352814
7,0.352814
8,0.147186
9,0.12987
10,0.084416
11,0.062771
12,0.101732
13,0.056277
14,0.08658
15,0.028139
16,0.006494
17,0.015152
18,0.038961
19,0.021645
20,0.021645
21,0.034632
22,0.008658
23,0.012987
24,0.04329
25,0.034632
26,0.008658
27,0.012987
28,0.015152
29,0.010823
30,0.017316
31,0.002165
32,0.008658
33,0.008658
34,0.006494
35,0.004329
36,0.006494
37,0.0
38,0.004329
39,0.006494
40,0.006494
41,0.004329
42,0.0
43,0.006494
44,0.0
45,0.008658
46,0.006494
47,0.004329
48,0.004329
49,0.002165
50,0.002165
51,0.004329
52,0.0
53,0.012987
54,0.006494
55,0.004329
56,0.006494
57,0.004329
58,0.069264
59,0.054113
60,0.010823
61,0.019481
62,0.017316
63,0.008658
64,0.002165
65,0.0
66,0.015152
67,0.051948
68,0.04329
69,0.051948
70,0.051948
71,0.088745
72,0.080087
73,0.145022
74,0.090909
75,0.134199
76,0.21645
77,0.430736
78,1.251082
79,1.084416
80,0.714286
81,1.0
82,1.255411
83,1.930736
84,1.32684
85,0.69697
86,0.313853
87,0.212121
88,0.201299
89,0.168831
90,0.209957
91,0.181818
92,0.257576
93,0.19697
94,0.21645
95,0.179654
