timestamp,value
0,0.83252
1,0.632324
2,0.633789
3,0.654785
4,0.693848
5,0.71582
6,0.643555
7,0.680176
8,0.606934
9,0.642578
10,0.746094
11,0.668457
12,0.535645
13,0.53418
14,0.503906
15,0.550293
16,0.638672
17,0.602051
18,0.45459
19,0.410156
20,0.440918
21,0.583008
22,0.744629
23,0.724609
24,0.900391
25,0.871094
26,0.817383
27,0.762207
28,0.906738
29,0.612793
30,0.696777
31,0.615723
32,0.674316
33,0.43457
34,0.489746
35,0.400391
36,0.449219
37,0.479492
38,0.390137
39,0.379395
40,0.40625
41,0.40625
42,0.342285
43,0.368164
44,0.246094
45,0.236328
46,0.310547
47,0.331543
48,0.29541
49,0.26123
50,0.196289
51,0.24707
52,0.317383
53,0.306152
54,0.315918
55,0.193359
56,0.3125
57,0.217773
58,0.234375
59,0.297852
60,0.206055
61,0.194336
62,0.240723
63,0.17627
64,0.226074
65,0.232422
66,0.220215
67,0.204102
68,0.193359
69,0.165527
70,0.261719
71,0.278809
72,0.26709
73,0.249023
74,0.26123
75,0.236328
76,0.212891
77,0.107422
78,0.182617
79,0.201172
80,0.280273
81,0.288574
82,0.328613
83,0.332031
84,0.292969
85,0.308594
86,0.395996
87,0.395996
88,0.460449
89,0.491699
90,0.483398
91,0.512695
92,0.495117
93,0.403809
94,0.537598
95,0.601074
