timestamp,value
0,0.578838
1,0.676349
2,0.773859
3,0.627593
4,0.595436
5,0.704357
6,0.756224
7,0.634855
8,0.647303
9,0.562241
10,0.536307
11,0.745851
12,0.80083
13,0.789419
14,0.571577
15,0.695021
16,0.756224
17,0.779046
18,0.756224
19,0.725104
20,0.594398
21,0.660788
22,1.004149
23,0.873444
24,0.591286
25,0.569502
26,0.501037
27,0.523859
28,0.604772
29,0.59751
30,0.580913
31,0.545643
32,0.710581
33,0.881743
34,0.784232
35,0.635892
36,0.788382
37,0.483402
38,0.434647
39,0.582988
40,0.529046
41,0.379668
42,0.434647
43,0.409751
44,0.492739
45,0.495851
46,0.625519
47,0.578838
48,0.631743
49,0.447095
50,0.563278
51,0.599585
52,0.571577
53,0.51556
54,0.492739
55,0.512448
56,0.53527
57,0.517635
58,0.507261
59,0.526971
60,0.477178
61,0.31639
62,0.186722
63,0.14834
64,0.28527
65,0.036307
66,0.181535
67,0.134855
68,0.171162
69,0.31639
70,0.095436
71,0.279046
72,0.482365
73,0.488589
74,0.377593
75,0.38278
76,0.415975
77,0.539419
78,0.802905
79,0.754149
80,0.689834
81,0.590249
82,0.630705
83,0.516598
84,0.59751
85,0.635892
86,0.630705
87,0.543568
88,0.784232
89,0.695021
90,0.511411
91,0.639004
92,0.925311
93,0.878631
94,0.670124
95,0.687759
