timestamp,value
0,1.171872
1,0.115979
2,0.127913
3,0.082927
4,0.263442
5,0.23198
6,0.106811
7,0.117118
8,0.174119
9,0.14341
10,0.082106
11,0.107462
12,0.190434
13,0.101492
14,0.116814
15,0.090357
16,0.184797
17,0.155529
18,0.164395
19,0.240276
20,0.384581
21,0.373614
22,0.367916
23,0.827978
24,0.68562
25,0.630269
26,1.335615
27,0.523826
28,0.72941
29,0.510946
30,0.345314
31,0.423276
32,0.337438
33,0.358849
34,0.668857
35,0.610057
36,0.434325
37,0.191481
38,0.199262
39,0.12475
40,0.079163
41,0.126821
42,0.089646
43,0.759026
44,0.053478
45,0.034706
46,0.041512
47,0.031066
48,0.050372
49,0.024398
50,0.052462
51,0.074378
52,0.066701
53,0.021869
54,0.022369
55,0.049046
56,0.022224
57,0.059692
58,0.070675
59,0.044434
60,0.029971
61,0.029493
62,0.017302
63,0.038663
64,0.058973
65,0.153722
66,0.11548
67,0.05237
68,0.05897
69,0.152982
70,0.100052
71,0.155001
72,0.141843
73,0.136622
74,0.173116
75,0.134606
76,0.137305
77,0.671571
78,0.235228
79,0.088992
80,0.100117
81,0.134496
82,0.185137
83,0.100936
84,0.116256
85,0.087664
86,0.14169
87,0.178641
88,0.573342
89,0.534121
90,0.516201
91,0.45089
92,0.443409
93,0.206133
94,0.287282
95,0.249834
