timestamp,value
0,0.519933
1,0.580573
2,0.619876
3,0.747333
4,0.795059
5,0.83717
6,0.70073
7,0.67041
8,0.730488
9,0.722628
10,0.763616
11,0.886581
12,0.828186
13,0.889388
14,0.859068
15,0.811342
16,0.848961
17,0.80292
18,0.797305
19,0.749017
20,0.759124
21,0.760247
22,0.851769
23,0.804604
24,0.828186
25,0.894441
26,0.976979
27,0.904548
28,0.873666
29,0.953958
30,0.909601
31,0.849523
32,0.741157
33,0.587872
34,0.566536
35,0.559236
36,0.459293
37,0.394722
38,0.31836
39,0.24986
40,0.265581
41,0.248175
42,0.270073
43,0.261089
44,0.279057
45,0.23863
46,0.196519
47,0.167883
48,0.181359
49,0.215048
50,0.218417
51,0.216732
52,0.203257
53,0.183043
54,0.159461
55,0.143178
56,0.141494
57,0.10612
58,0.119034
59,0.086468
60,0.076362
61,0.110051
62,0.123526
63,0.115104
64,0.098821
65,0.125772
66,0.097136
67,0.089837
68,0.125211
69,0.144862
70,0.1516
71,0.218978
72,0.262774
73,0.301516
74,0.345312
75,0.400337
76,0.494666
77,0.696238
78,0.723751
79,0.59854
80,0.672094
81,0.709714
82,0.612016
83,0.645143
84,0.736665
85,0.774846
86,0.701291
87,0.754071
88,0.670971
89,0.764177
90,0.695115
91,0.768669
92,0.651881
93,0.672656
94,0.615385
95,0.565974
