timestamp,value
0,0.019102
1,0.01141
2,0.009705
3,0.002488
4,0.00169
5,0.00184
6,0.005366
7,0.006344
8,0.004081
9,0.004644
10,0.006073
11,0.048953
12,0.025834
13,0.044316
14,0.008554
15,0.016277
16,0.289355
17,0.174266
18,0.245045
19,0.098789
20,0.1357
21,0.069682
22,0.546509
23,0.042755
24,0.053261
25,0.023549
26,0.131498
27,0.034841
28,0.043841
29,0.091066
30,0.036801
31,0.071275
32,0.110337
33,0.137546
34,0.128028
35,1.512847
36,1.299936
37,1.298724
38,0.087781
39,0.044781
40,1.357444
41,1.29263
42,0.053741
43,0.122721
44,0.108195
45,0.031429
46,0.130262
47,0.299897
48,0.226243
49,0.249757
50,0.166214
51,0.015506
52,0.036098
53,0.089918
54,0.063512
55,0.069461
56,0.225814
57,0.057637
58,0.254938
59,0.104207
60,0.265591
61,0.188116
62,0.064224
63,0.111373
64,0.219563
65,0.143288
66,0.14827
67,0.327019
68,0.235936
69,0.8671
70,0.529368
71,0.116803
72,0.049612
73,0.151577
74,0.125705
75,0.034835
76,0.014599
77,0.003664
78,0.002036
79,0.001155
80,0.001444
81,0.00409
82,0.000969
83,0.000791
84,0.009208
85,0.001209
86,0.00013
87,0.002581
88,0.002146
89,0.003249
90,0.002084
91,0.044808
92,0.021679
93,0.015082
94,0.018286
95,0.013814
