timestamp,value
0,0.941593
1,0.91791
2,0.956349
3,0.930905
4,1.0
5,0.988078
6,0.951399
7,0.9625
8,0.952404
9,0.941071
10,0.862213
11,0.980858
12,0.957584
13,0.956579
14,0.955285
15,0.977147
16,0.95
17,0.951183
18,1.0
19,0.972222
20,0.915816
21,0.921429
22,0.96317
23,1.0
24,0.885945
25,1.0
26,0.964894
27,1.0
28,1.0
29,1.0
30,0.959158
31,1.0
32,1.0
33,1.0
34,0.940217
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,0.803571
46,1.0
47,0.764286
48,0.292857
49,1.0
50,1.0
51,1.0
52,0.467742
53,0.0
54,1.0
55,1.0
56,1.0
57,0.85
58,1.0
59,1.0
60,1.0
61,0.663265
62,0.852679
63,1.0
64,0.831633
65,1.0
66,0.882143
67,0.652632
68,0.948758
69,1.0
70,1.0
71,0.960714
72,0.965481
73,0.888889
74,0.948916
75,0.953652
76,0.978571
77,0.976156
78,0.986431
79,0.994448
80,0.977703
81,0.975015
82,0.993622
83,0.983906
84,0.968287
85,0.961747
86,0.983631
87,0.945724
88,1.0
89,0.987668
90,1.0
91,0.953652
92,0.953782
93,0.95339
94,0.953258
95,1.0
