timestamp,value
0,0.488055
1,0.501706
2,0.498294
3,0.436007
4,0.479522
5,0.523038
6,0.511945
7,0.441126
8,0.348123
9,0.325085
10,0.335324
11,0.413823
12,0.421502
13,0.404437
14,0.446246
15,0.432594
16,0.424061
17,0.354096
18,0.40529
19,0.395051
20,0.451365
21,0.446246
22,0.476962
23,0.424915
24,0.491468
25,0.631399
26,0.581058
27,0.638225
28,0.580205
29,0.715017
30,0.749147
31,0.930887
32,0.860068
33,0.861775
34,0.797782
35,0.804608
36,0.762799
37,0.777304
38,0.790102
39,0.739761
40,0.903584
41,0.700512
42,0.941126
43,0.760239
44,0.906997
45,0.777304
46,0.746587
47,0.768771
48,0.887372
49,0.788396
50,0.919795
51,0.932594
52,0.788396
53,0.793515
54,0.851536
55,0.982082
56,0.75
57,0.812287
58,0.91041
59,0.813993
60,0.87884
61,0.884812
62,0.686007
63,0.651024
64,0.739761
65,0.671502
66,0.486348
67,0.528157
68,0.568259
69,0.593003
70,0.686007
71,0.614334
72,0.736348
73,0.735495
74,0.731229
75,0.707338
76,0.766212
77,0.693686
78,0.580205
79,0.716724
80,0.62884
81,0.703925
82,0.669795
83,0.506826
84,0.517065
85,0.508532
86,0.570819
87,0.512799
88,0.509386
89,0.452218
90,0.456485
91,0.46587
92,0.475256
93,0.459044
94,0.320819
95,0.296075
