timestamp,value
0,0.110613
1,0.048954
2,0.115471
3,0.110987
4,0.066517
5,0.078849
6,0.043348
7,0.019432
8,0.066143
9,0.101271
10,0.017937
11,0.031764
12,0.087818
13,0.044469
14,0.041854
15,0.042601
16,0.049327
17,0.202167
18,0.353886
19,0.387145
20,0.2713
21,0.128924
22,0.411061
23,0.380792
24,0.640508
25,0.528027
26,0.665919
27,0.386771
28,1.122945
29,0.48991
30,0.610613
31,0.504484
32,0.671898
33,0.479073
34,0.280269
35,0.116966
36,0.179746
37,0.157698
38,0.28139
39,0.081839
40,0.093797
41,0.044096
42,0.044469
43,0.047833
44,0.032885
45,0.020927
46,0.032511
47,0.025785
48,0.003363
49,0.015695
50,0.003363
51,0.009342
52,0.013079
53,0.017937
54,0.010837
55,0.026906
56,0.124813
57,0.001868
58,0.004111
59,0.011584
60,0.009716
61,0.008595
62,0.009716
63,0.04148
64,0.07997
65,0.182735
66,0.275411
67,0.088939
68,0.028774
69,0.055306
70,0.033632
71,0.028027
72,0.029895
73,0.062407
74,0.025037
75,0.027653
76,0.011211
77,0.021674
78,0.014948
79,0.028774
80,0.022422
81,0.37145
82,0.432735
83,0.620329
84,0.011211
85,0.039611
86,0.127055
87,0.063154
88,0.328475
89,0.054185
90,0.030269
91,0.066891
92,0.053438
93,0.115845
94,0.175635
95,0.041106
