timestamp,value
0,0.030278
1,0.019344
2,0.010093
3,0.036165
4,0.039529
5,0.0
6,0.001682
7,0.000841
8,0.017662
9,0.010934
10,0.026913
11,0.047098
12,0.014298
13,0.011775
14,0.009251
15,0.015139
16,0.037847
17,0.111859
18,0.239697
19,0.098402
20,0.082422
21,0.089151
22,0.102607
23,0.183347
24,0.082422
25,0.074853
26,0.059714
27,0.049622
28,0.06476
29,0.099243
30,0.159798
31,0.116064
32,0.248949
33,0.144659
34,0.139613
35,0.945332
36,0.058032
37,0.08074
38,0.070648
39,0.062237
40,0.100925
41,0.190076
42,0.167368
43,0.239697
44,0.236333
45,0.181665
46,0.047939
47,0.101766
48,0.45164
49,0.183347
50,0.108495
51,0.095038
52,0.114382
53,0.117746
54,0.059714
55,0.068966
56,0.655172
57,0.291842
58,0.130362
59,0.077376
60,0.084104
61,0.225399
62,0.134567
63,0.213625
64,0.082422
65,0.082422
66,0.154752
67,0.173255
68,0.359966
69,0.276703
70,0.202691
71,0.132885
72,0.481077
73,0.104289
74,0.221194
75,0.266611
76,0.150547
77,0.566022
78,0.522288
79,0.138772
80,0.095038
81,0.103448
82,0.20942
83,0.071489
84,0.04878
85,0.020185
86,0.050463
87,0.042052
88,0.019344
89,0.021026
90,0.005046
91,0.011775
92,0.00841
93,0.004205
94,0.001682
95,0.001682
