timestamp,value
0,0.306306
1,0.369369
2,0.441441
3,0.391892
4,0.522523
5,0.657658
6,0.72973
7,0.540541
8,0.869369
9,0.707207
10,0.45045
11,0.567568
12,0.463964
13,0.585586
14,0.630631
15,0.184685
16,0.225225
17,0.288288
18,0.477477
19,0.545045
20,0.662162
21,0.581081
22,0.581081
23,0.337838
24,0.621622
25,0.545045
26,0.288288
27,0.355856
28,0.423423
29,0.509009
30,0.581081
31,0.693694
32,0.608108
33,0.495495
34,0.594595
35,0.572072
36,0.355856
37,0.135135
38,0.265766
39,0.261261
40,0.22973
41,0.423423
42,0.391892
43,0.518018
44,0.675676
45,0.774775
46,0.801802
47,0.481982
48,0.806306
49,0.617117
50,0.81982
51,0.828829
52,0.792793
53,0.648649
54,0.382883
55,0.540541
56,0.711712
57,0.635135
58,0.630631
59,0.513514
60,0.373874
61,0.31982
62,0.684685
63,0.567568
64,0.13964
65,0.189189
66,0.216216
67,0.256757
68,0.554054
69,0.828829
70,0.599099
71,0.432432
72,0.427928
73,0.522523
74,0.621622
75,0.536036
76,0.554054
77,0.441441
78,0.572072
79,0.653153
80,0.405405
81,0.630631
82,0.567568
83,0.671171
84,0.59009
85,0.59009
86,0.671171
87,0.68018
88,0.864865
89,0.810811
90,0.792793
91,0.387387
92,0.292793
93,0.585586
94,0.612613
95,0.585586
