timestamp,value
0,0.322581
1,0.505376
2,0.16129
3,0.16129
4,0.225806
5,0.247312
6,0.290323
7,0.268817
8,0.258065
9,0.215054
10,0.193548
11,0.290323
12,0.290323
13,0.311828
14,0.408602
15,0.494624
16,0.548387
17,0.612903
18,0.419355
19,0.483871
20,0.397849
21,0.376344
22,0.344086
23,0.537634
24,0.709677
25,0.483871
26,0.505376
27,0.419355
28,0.537634
29,0.752688
30,0.537634
31,0.526882
32,0.290323
33,0.344086
34,0.247312
35,0.344086
36,0.247312
37,0.290323
38,0.354839
39,0.311828
40,0.333333
41,0.462366
42,0.602151
43,0.376344
44,0.354839
45,0.344086
46,0.537634
47,0.387097
48,0.376344
49,0.397849
50,0.365591
51,0.494624
52,0.516129
53,0.225806
54,0.021505
55,0.021505
56,0.043011
57,0.043011
58,0.021505
59,0.16129
60,0.053763
61,0.043011
62,0.064516
63,0.139785
64,0.172043
65,0.225806
66,0.075269
67,0.086022
68,0.172043
69,0.247312
70,0.150538
71,0.182796
72,0.107527
73,0.172043
74,0.172043
75,0.225806
76,0.311828
77,0.215054
78,0.258065
79,0.193548
80,0.55914
81,0.494624
82,0.612903
83,1.021505
84,0.290323
85,0.172043
86,0.236559
87,0.301075
88,0.311828
89,0.268817
90,0.354839
91,0.333333
92,0.462366
93,0.537634
94,0.408602
95,0.548387
