timestamp,value
0,0.08333
1,0.080774
2,0.075681
3,0.06692
4,0.068914
5,0.049184
6,0.023221
7,0.033228
8,0.047546
9,0.073188
10,0.062468
11,0.060473
12,0.050857
13,0.062076
14,0.079349
15,0.086473
16,0.188579
17,0.23381
18,0.344
19,0.390671
20,0.499629
21,0.624394
22,0.594264
23,0.51324
24,0.484678
25,0.497855
26,0.561108
27,0.670057
28,0.685466
29,0.692266
30,0.673365
31,0.637957
32,0.62546
33,0.626388
34,0.701135
35,0.739814
36,0.629534
37,0.517042
38,0.528948
39,0.494686
40,0.499203
41,0.678671
42,0.853253
43,0.893319
44,0.88203
45,0.83598
46,0.774843
47,0.768349
48,0.802894
49,0.746003
50,0.563884
51,0.664265
52,0.648932
53,0.690851
54,0.682267
55,0.642094
56,0.59957
57,0.630519
58,0.697297
59,0.665565
60,0.62354
61,0.550707
62,0.491944
63,0.381682
64,0.317396
65,0.389089
66,0.530586
67,0.672438
68,0.632229
69,0.601138
70,0.70239
71,0.582618
72,0.522002
73,0.520685
74,0.485534
75,0.533826
76,0.544832
77,0.57984
78,0.598324
79,0.728496
80,0.658761
81,0.576029
82,0.618339
83,0.553166
84,0.396925
85,0.343359
86,0.327262
87,0.277687
88,0.205568
89,0.146946
90,0.112897
91,0.131382
92,0.070695
93,0.05011
94,0.036861
95,0.065281
