timestamp,value
0,0.5
1,0.653846
2,0.576923
3,0.461538
4,0.461538
5,0.846154
6,0.692308
7,0.807692
8,0.692308
9,0.769231
10,0.576923
11,0.653846
12,0.653846
13,0.769231
14,0.692308
15,0.769231
16,0.807692
17,0.961538
18,0.807692
19,0.923077
20,0.730769
21,0.692308
22,0.769231
23,0.846154
24,0.884615
25,0.769231
26,0.730769
27,0.692308
28,0.538462
29,0.615385
30,0.846154
31,0.730769
32,0.692308
33,0.692308
34,0.538462
35,0.384615
36,0.615385
37,0.653846
38,0.730769
39,0.653846
40,0.730769
41,0.653846
42,0.307692
43,0.346154
44,0.346154
45,0.384615
46,0.307692
47,0.269231
48,0.346154
49,0.269231
50,0.230769
51,0.269231
52,0.192308
53,0.192308
54,0.269231
55,0.192308
56,0.192308
57,0.153846
58,0.153846
59,0.038462
60,0.038462
61,0.038462
62,0.076923
63,0.192308
64,0.115385
65,0.115385
66,0.115385
67,0.038462
68,0.153846
69,0.115385
70,0.153846
71,0.153846
72,0.307692
73,0.423077
74,0.5
75,0.384615
76,0.5
77,0.615385
78,0.884615
79,0.692308
80,0.692308
81,0.538462
82,0.576923
83,0.5
84,0.653846
85,0.615385
86,0.730769
87,0.769231
88,0.923077
89,0.692308
90,0.615385
91,0.807692
92,0.769231
93,0.653846
94,0.653846
95,0.692308
