timestamp,value
0,1.089529
1,0.441382
2,0.834308
3,0.212936
4,0.252735
5,0.14951
6,0.148163
7,0.113357
8,0.151961
9,0.156534
10,0.359945
11,0.094895
12,0.232629
13,0.175032
14,0.214398
15,0.218441
16,0.134411
17,0.208584
18,0.193038
19,0.124416
20,0.207489
21,0.147982
22,0.150479
23,0.122389
24,0.155761
25,0.261117
26,0.203232
27,0.142577
28,0.12964
29,0.134997
30,0.194328
31,0.146717
32,0.149376
33,0.091022
34,0.108774
35,0.116843
36,0.120903
37,0.095748
38,0.119566
39,0.102223
40,0.283411
41,0.348231
42,0.184764
43,0.208309
44,0.117056
45,0.466612
46,0.444634
47,0.203497
48,0.028113
49,0.019337
50,0.016393
51,0.009864
52,0.006972
53,0.012512
54,0.008892
55,0.007306
56,0.007533
57,0.008624
58,0.009958
59,0.010281
60,0.008133
61,0.008101
62,0.009667
63,0.007455
64,0.006308
65,0.010059
66,0.021802
67,0.029074
68,0.032145
69,0.016844
70,0.024502
71,0.030356
72,0.040785
73,0.054654
74,0.59244
75,0.07931
76,0.086736
77,0.061898
78,0.077948
79,0.105688
80,0.099136
81,0.206164
82,0.109972
83,0.106279
84,0.133034
85,0.117018
86,0.577164
87,0.637163
88,0.226708
89,0.100701
90,0.130278
91,0.218518
92,0.110359
93,0.212876
94,0.249774
95,0.411762
